Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000913.3	1299567	1300547		plus	IS5 family transposase and trans-activator	insH21	38094952	protein-coding		NP_417962.2	326	b4711
NC_000913.3	1301182	1302813		plus	oligopeptide ABC transporter periplasmic binding protein	oppA	945830	protein-coding		NP_415759.1	543	b1243
NC_000913.3	1302899	1303819		plus	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB	oppB	945823	protein-coding		NP_415760.1	306	b1244
NC_000913.3	1303834	1304742		plus	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC	oppC	945810	protein-coding		NP_415761.1	302	b1245
NC_000913.3	1304754	1305767		plus	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD	oppD	945802	protein-coding		YP_025300.1	337	b1246
NC_000913.3	1305764	1306768		plus	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF	oppF	945818	protein-coding		NP_415763.1	334	b1247
NC_000913.3	1306821	1307150		minus	DUF440 domain-containing protein YciU	yciU	945819	protein-coding		NP_415764.4	109	b1248
NC_000913.3	1307185	1308645		minus	cardiolipin synthase A	clsA	945821	protein-coding		NP_415765.1	486	b1249
NC_000913.3	1308788	1308961		plus	uncharacterized protein YciY	yciY	5061502	protein-coding		YP_001165316.1	57	b4595
NC_000913.3	1309016	1310269		minus	K(+) channel Kch	kch	945841	protein-coding		NP_415766.1	417	b1250
NC_000913.3	1310569	1310865		minus	protein YciI	yciI	949085	protein-coding		NP_415767.2	98	b1251
NC_000913.3	1311089	1311808		plus	Ton complex subunit TonB	tonB	945843	protein-coding		NP_415768.1	239	b1252
NC_000913.3	1311848	1312246		minus	acyl-CoA thioesterase YciA	yciA	946634	protein-coding		NP_415769.1	132	b1253
NC_000913.3	1312351	1312890		minus	inner membrane protein	yciB	946228	protein-coding		NP_415770.1	179	b1254
NC_000913.3	1312920	1313663		minus	putative inner membrane protein	yciC	945844	protein-coding		NP_415771.1	247	b1255
NC_000913.3	1314020	1314658		plus	outer membrane protein W	ompW	945128	protein-coding		NP_415772.1	212	b1256
NC_000913.3	1314718	1315224		minus	DUF892 domain-containing protein YciE	yciE	946871	protein-coding		NP_415773.1	168	b1257
NC_000913.3	1315270	1315770		minus	DUF892 domain-containing protein YciF	yciF	947133	protein-coding		NP_415774.1	166	b1258
NC_000913.3	1315856	1316035		minus	stress-induced bacterial acidophilic repeat motifs-containing protein YciG	yciG	947489	protein-coding		NP_415775.4	59	b1259
NC_000913.3	1316416	1317222		minus	tryptophan synthase subunit alpha	trpA	946204	protein-coding		NP_415776.1	268	b1260
NC_000913.3	1317222	1318415		minus	tryptophan synthase subunit beta	trpB	945768	protein-coding		NP_415777.1	397	b1261
NC_000913.3	1318427	1319788		minus	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	trpC	945519	protein-coding		NP_415778.3	453	b1262
NC_000913.3	1319789	1321384		minus	anthranilate synthase subunit TrpD	trpD	945109	protein-coding		NP_415779.1	531	b1263
NC_000913.3	1321384	1322946		minus	anthranilate synthase subunit TrpE	trpE	945846	protein-coding		NP_415780.1	520	b1264
NC_000913.3	1323038	1323082		minus	trp operon leader peptide	trpL	945856	protein-coding		NP_415781.1	14	b1265
NC_000913.3	1323220	1324101		plus	RNase AM	rnm	945857	protein-coding		NP_415782.1	293	b1266
NC_000913.3	1324098	1324718		plus	putative RNA-binding protein YciO	yciO	945854	protein-coding		NP_415783.6	206	b1267
NC_000913.3	1324746	1326641		plus	DUF2207 domain-containing protein YciQ	yciQ	945850	protein-coding		NP_415784.1	631	b1268
NC_000913.3	1326852	1327727		plus	23S rRNA pseudouridine(2605) synthase	rluB	945840	protein-coding		NP_415785.1	291	b1269
NC_000913.3	1327767	1328357		minus	cobinamide/cobalamin adenosyltransferase	btuR	945839	protein-coding		NP_415786.1	196	b1270
NC_000913.3	1328354	1329112		minus	putative oxidoreductase	yciK	945838	protein-coding		NP_415787.1	252	b1271
NC_000913.3	1329332	1330381		plus	S49 peptidase family protein	sohB	945858	protein-coding		NP_415788.1	349	b1272
NC_000913.3	1330417	1330668		minus	protein YciN	yciN	945860	protein-coding		NP_415789.1	83	b1273
NC_000913.3	1331048	1333645		plus	DNA topoisomerase 1	topA	945862	protein-coding		NP_415790.1	865	b1274
NC_000913.3	1333855	1334829		plus	DNA-binding transcriptional dual regulator CysB	cysB	945771	protein-coding		NP_415791.1	324	b1275
NC_000913.3	1335148	1335288		plus	uncharacterized protein YmiA	ymiA	1450256	protein-coding		YP_588449.3	46	b4522
NC_000913.3	1335291	1335458		plus	uncharacterized protein YciX	yciX	1450257	protein-coding		YP_588450.2	55	b4523
NC_000913.3	1335572	1335667		plus	protein YmiC	ymiC	38094953	protein-coding		YP_009518771.1	31	b4741
NC_000913.3	1335831	1338506		plus	aconitate hydratase 1	acnA	946724	protein-coding		NP_415792.1	891	b1276
NC_000913.3	1338570	1339160		minus	GTP cyclohydrolase 2	ribA	945763	protein-coding		NP_415793.1	196	b1277
NC_000913.3	1339330	1340094		plus	phosphatidylglycerophosphatase B	pgpB	945863	protein-coding		NP_415794.1	254	b1278
NC_000913.3	1340243	1340551		plus	lipopolysaccharide assembly protein A	lapA	944936	protein-coding		NP_415795.1	102	b1279
NC_000913.3	1340558	1341727		plus	lipopolysaccharide assembly protein B	lapB	944858	protein-coding		NP_415796.1	389	b1280
NC_000913.3	1341921	1342658		plus	orotidine-5'-phosphate decarboxylase	pyrF	947121	protein-coding		NP_415797.1	245	b1281
NC_000913.3	1342658	1342984		plus	putative translation factor	yciH	947058	protein-coding		NP_415798.2	108	b1282
NC_000913.3	1343110	1343328		minus	osmotically-inducible lipoprotein OsmB	osmB	945866	protein-coding		NP_415799.1	72	b1283
NC_000913.3	1343597	1344346		minus	DNA-binding transcriptional dual regulator YciT	yciT	945869	protein-coding		NP_415800.1	249	b1284
NC_000913.3	1344436	1344609		minus	UPF0509 family protein YciZ	yciZ	5061509	protein-coding		YP_001165317.1	57	b4596
NC_000913.3	1344647	1344775		plus	protein YmiD	ymiD	63925633	protein-coding		YP_010051182.1	42	b4772
NC_000913.3	1344757	1346742		minus	cyclic di-GMP phosphodiesterase PdeR	pdeR	945868	protein-coding		NP_415801.1	661	b1285
NC_000913.3	1346796	1346900		plus	putative protein YmiB	ymiB	7751616	protein-coding		YP_002791239.1	34	b4672
NC_000913.3	1346978	1348912		minus	RNase II	rnb	945864	protein-coding		NP_415802.1	644	b1286
NC_000913.3	1348980	1350107		minus	putative peroxidase YciW	yciW	945859	protein-coding		NP_415803.2	375	b1287
NC_000913.3	1350251	1351039		minus	enoyl-[acyl-carrier-protein] reductase	fabI	945870	protein-coding		NP_415804.1	262	b1288
NC_000913.3	1351407	1351760		minus	DUF559 domain-containing protein YcjD	ycjD	945871	protein-coding		NP_415805.1	117	b1289
NC_000913.3	1351828	1352634		minus	putrescine ABC exporter ATP binding protein SapF	sapF	945335	protein-coding		NP_415806.1	268	b1290
NC_000913.3	1352636	1353628		minus	putrescine ABC exporter ATP binding protein SapD	sapD	946203	protein-coding		NP_415807.1	330	b1291
NC_000913.3	1353628	1354518		minus	putrescine ABC exporter membrane protein SapC	sapC	945266	protein-coding		NP_415808.1	296	b1292
NC_000913.3	1354505	1355470		minus	putrescine ABC exporter membrane subunit SapB	sapB	946191	protein-coding		NP_415809.1	321	b1293
NC_000913.3	1355467	1357110		minus	putative periplasmic binding protein SapA	sapA	945873	protein-coding		NP_415810.1	547	b1294
NC_000913.3	1357423	1357668		minus	DUF2543 domain-containing protein YmjA	ymjA	945874	protein-coding		NP_415811.1	81	b1295
NC_000913.3	1357802	1359187		minus	putrescine:H(+) symporter PuuP	puuP	946287	protein-coding		NP_415812.4	461	b1296
NC_000913.3	1359177	1359341		minus	protein YmjE	ymjE	38094954	protein-coding		YP_009518772.1	54	b4742
NC_000913.3	1359490	1360908		minus	glutamate-putrescine ligase	puuA	946202	protein-coding		NP_415813.4	472	b1297
NC_000913.3	1361120	1361884		plus	gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD	945882	protein-coding		NP_415814.4	254	b1298
NC_000913.3	1361911	1362468		plus	DNA-binding transcriptional repressor PuuR	puuR	945886	protein-coding		NP_415815.1	185	b1299
NC_000913.3	1362743	1364230		plus	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	puuC	947003	protein-coding		NP_415816.1	495	b1300
NC_000913.3	1364232	1365512		plus	gamma-glutamylputrescine oxidase	puuB	945072	protein-coding		NP_415817.1	426	b1301
NC_000913.3	1365550	1366815		plus	4-aminobutyrate aminotransferase PuuE	puuE	945446	protein-coding		NP_415818.1	421	b1302
NC_000913.3	1366935	1367912		minus	DNA-binding transcriptional dual regulator PspF	pspF	945683	protein-coding		NP_415819.4	325	b1303
NC_000913.3	1368079	1368747		plus	phage shock protein A	pspA	945887	protein-coding		NP_415820.1	222	b1304
NC_000913.3	1368801	1369025		plus	phage shock protein B	pspB	945893	protein-coding		NP_415821.1	74	b1305
NC_000913.3	1369025	1369384		plus	phage shock protein C	pspC	945499	protein-coding		NP_415822.1	119	b1306
NC_000913.3	1369393	1369614		plus	phage shock protein D	pspD	945635	protein-coding		NP_415823.1	73	b1307
NC_000913.3	1369689	1370003		plus	thiosulfate sulfurtransferase PspE	pspE	945652	protein-coding		NP_415824.1	104	b1308
NC_000913.3	1370216	1371895		plus	glucosylglycerate phosphorylase	ycjM	945659	protein-coding		NP_415825.4	559	b1309
NC_000913.3	1371909	1373201		plus	putative ABC transporter periplasmic binding protein YcjN	ycjN	945696	protein-coding		NP_415826.1	430	b1310
NC_000913.3	1373222	1374103		plus	putative ABC transporter membrane subunit YcjO	ycjO	945888	protein-coding		NP_415827.1	293	b1311
NC_000913.3	1374090	1374932		plus	putative ABC transporter membrane subunit YcjP	ycjP	945892	protein-coding		NP_415828.1	280	b1312
NC_000913.3	1374963	1376015		plus	D-guloside 3-dehydrogenase	ycjQ	945971	protein-coding		NP_415829.1	350	b1313
NC_000913.3	1376034	1376822		plus	3-dehydro-D-guloside 4-epimerase	ycjR	947427	protein-coding		NP_415830.2	262	b1314
NC_000913.3	1376832	1377887		plus	D-glucoside 3-dehydrogenase	ycjS	948589	protein-coding		NP_415831.1	351	b1315
NC_000913.3	1377884	1380151		plus	kojibiose phosphorylase	ycjT	945895	protein-coding		NP_415832.1	755	b1316
NC_000913.3	1380148	1380807		plus	beta-phosphoglucomutase	ycjU	945891	protein-coding		NP_415833.1	219	b1317
NC_000913.3	1380821	1381789		plus	uncharacterized gene	ycjV	945890	pseudogene				b1318
NC_000913.3	1381789	1381902		plus	uncharacterized gene	ymjB	4306141	pseudogene				b4524
NC_000913.3	1381947	1382852		plus	outer membrane porin G	ompG	945889	protein-coding		NP_415835.1	301	b1319
NC_000913.3	1382963	1383961		minus	DNA-binding transcriptional repressor YcjW	ycjW	945875	protein-coding		NP_415836.1	332	b1320
NC_000913.3	1384117	1385514		plus	DUF463 domain-containing protein YcjX	ycjX	945872	protein-coding		NP_415837.1	465	b1321
NC_000913.3	1385511	1386572		plus	DUF697 domain-containing inner membrane protein YcjF	ycjF	945878	protein-coding		NP_415838.1	353	b1322
NC_000913.3	1386720	1388261		plus	DNA-binding transcriptional dual regulator TyrR	tyrR	945879	protein-coding		NP_415839.1	513	b1323
NC_000913.3	1388305	1388811		minus	lipid hydroperoxide peroxidase	tpx	945880	protein-coding		NP_415840.1	168	b1324
NC_000913.3	1388930	1389895		plus	L-Ala-D/L-Glu epimerase	ycjG	946013	protein-coding		NP_415841.4	321	b1325
NC_000913.3	1389870	1390598		minus	murein tripeptide amidase A	mpaA	945969	protein-coding		NP_415842.2	242	b1326
NC_000913.3	1390680	1390862		minus	putative uncharacterized protein YmjC	ymjC	1450258	protein-coding		YP_009518773.1	60	b4525
NC_000913.3	1390868	1390933		minus	uncharacterized protein YmjD	ymjD	7751617	protein-coding		YP_009518774.1	21	b4673
NC_000913.3	1390933	1391853		minus	putative hydrolase YcjY	ycjY	945988	protein-coding		NP_415843.2	306	b1327
NC_000913.3	1391991	1392890		plus	DNA-binding transcriptional repressor PgrR	pgrR	945930	protein-coding		NP_415844.1	299	b1328
NC_000913.3	1393227	1394840		plus	murein tripeptide ABC transporter periplasmic binding protein	mppA	945951	protein-coding		NP_415845.2	537	b1329
NC_000913.3	1394891	1395922		minus	small conductance mechanosensitive channel YnaI	ynaI	945898	protein-coding		NP_415846.1	343	b1330
NC_000913.3	1396112	1397092		plus	IS5 family transposase and trans-activator	insH4	945896	protein-coding		YP_009518770.2	326	b1331
NC_000913.3	1397365	1397622		plus	DUF2534 domain-containing protein YnaJ	ynaJ	945901	protein-coding		NP_415848.1	85	b1332
NC_000913.3	1397672	1398622		minus	universal stress protein E	uspE	945904	protein-coding		NP_415849.1	316	b1333
NC_000913.3	1398774	1399526		minus	DNA-binding transcriptional dual regulator FNR	fnr	945908	protein-coding		NP_415850.1	250	b1334
NC_000913.3	1399721	1400236		minus	methylated-DNA--[protein]-cysteine S-methyltransferase	ogt	945853	protein-coding		NP_415851.1	171	b1335
NC_000913.3	1400247	1401773		minus	p-aminobenzoyl glutamate:H(+) symporter	abgT	945912	protein-coding		NP_415852.2	508	b1336
NC_000913.3	1401810	1403255		minus	p-aminobenzoyl-glutamate hydrolase subunit B	abgB	945950	protein-coding		NP_415853.1	481	b1337
NC_000913.3	1403255	1404565		minus	p-aminobenzoyl-glutamate hydrolase subunit A	abgA	945742	protein-coding		NP_415854.4	436	b1338
NC_000913.3	1404741	1405649		plus	putative LysR-type DNA-binding transcriptional regulator AbgR	abgR	945831	protein-coding		NP_415855.1	302	b1339
NC_000913.3	1405658	1405751		minus	small regulatory RNA McaS	mcaS	2847751	ncRNA				b4426
NC_000913.3	1405979	1406542		plus	DNA endonuclease SmrA	smrA	945953	protein-coding		NP_415856.1	187	b1340
NC_000913.3	1406563	1407795		minus	diguanylate cyclase DgcM	dgcM	945909	protein-coding		NP_415857.2	410	b1341
NC_000913.3	1407989	1408036		plus	protein YnaN	ynaN	63925634	protein-coding		YP_010051183.1	15	b4773
NC_000913.3	1408050	1409033		plus	Zn(2(+)):H(+) symporter	zntB	945910	protein-coding		NP_415858.1	327	b1342
NC_000913.3	1409129	1409250		plus	small regulatory RNA FnrS	fnrS	8764968	ncRNA				b4699
NC_000913.3	1409308	1409481		plus	protein YnaL	ynaL	38094955	protein-coding		YP_009518775.1	57	b4743
NC_000913.3	1409511	1410884		plus	ATP-dependent RNA helicase DbpA	dbpA	947153	protein-coding		NP_415859.1	457	b1343
NC_000913.3	1411013	1411948		minus	tRNA cytosine(32) 2-sulfurtransferase TtcA	ttcA	948967	protein-coding		NP_415860.1	311	b1344
NC_000913.3	1412000	1413235		minus	putative integrase	intR	946976	protein-coding		NP_415861.1	411	b1345
NC_000913.3	1413237	1413452		minus	excisionase	xisR	947399	protein-coding		NP_415862.4	71	b1346
NC_000913.3	1413531	1413740		minus	double-strand break reduction protein	rcbA	947504	protein-coding		NP_415863.1	69	b1347
NC_000913.3	1413556	1413734		plus	small regulatory RNA antitoxin RalA	ralA	20160642	ncRNA				b4714
NC_000913.3	1413733	1413927		minus	endodeoxyribonuclease toxin RalR	ralR	945914	protein-coding		NP_415864.1	64	b1348
NC_000913.3	1413984	1414793		minus	recombinase RecT	recT	945917	protein-coding		NP_415865.1	269	b1349
NC_000913.3	1414786	1417386		minus	exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific	recE	945918	protein-coding		NP_415866.1	866	b1350
NC_000913.3	1417488	1417763		minus	protein RacC	racC	945920	protein-coding		NP_415867.1	91	b1351
NC_000913.3	1417838	1418008		minus	zinc-binding protein	ydaE	948959	protein-coding		YP_588451.1	56	b4526
NC_000913.3	1418008	1418229		minus	inhibitor of FtsZ	kilR	945921	protein-coding		NP_415869.2	73	b1352
NC_000913.3	1418405	1418502		minus	small RNA KilS	kilS	71004563	ncRNA				b4833
NC_000913.3	1418671	1419159		plus	phage superinfection exclusion protein	sieB	945913	protein-coding		NP_415870.4	162	b1353
NC_000913.3	1419156	1419311		minus	DUF1391 domain-containing protein YdaF	ydaF	945911	protein-coding		NP_415872.2	51	b4527
NC_000913.3	1419322	1419456		minus	uncharacterized protein YdaG	ydaG	945907	protein-coding		NP_415873.2	44	b1355
NC_000913.3	1419765	1420241		minus	DNA-binding transcriptional repressor RacR	racR	945899	protein-coding		NP_415874.1	158	b1356
NC_000913.3	1420365	1420661		plus	toxin YdaS	ydaS	945923	protein-coding		NP_415875.1	98	b1357
NC_000913.3	1420684	1421106		plus	protein YdaT	ydaT	945924	protein-coding		NP_415876.1	140	b1358
NC_000913.3	1421119	1421976		plus	DUF1376 domain-containing protein YdaU	ydaU	945925	protein-coding		NP_415877.1	285	b1359
NC_000913.3	1421983	1422729		plus	putative ATP-binding protein YdaV	ydaV	945926	protein-coding		NP_415878.1	248	b1360
NC_000913.3	1422752	1423312		plus	putative uncharacterized protein YdaW	ydaW	945927	protein-coding		YP_009518776.1	186	b1361
NC_000913.3	1423345	1423644		plus	uncharacterized gene	rzpR	945928	pseudogene				b1362
NC_000913.3	1423400	1423585		plus	putative prophage outer membrane lipoprotein RzoR	rzoR	1450262	protein-coding		YP_588452.1	61	b4528
NC_000913.3	1423782	1425239		plus	K(+) transporter TrkG	trkG	945932	protein-coding		NP_415881.1	485	b1363
NC_000913.3	1425377	1425640		plus	ParB-like nuclease domain-containing protein YnaK	ynaK	947417	protein-coding		NP_415883.1	87	b1365
NC_000913.3	1425621	1425980		plus	putative uncharacterized protein YdaY	ydaY	946208	protein-coding		YP_009518777.1	119	b1366
NC_000913.3	1426454	1427482		plus	putative prophage tail length tape measure domain-containing protein YnaA	ynaA	947543	protein-coding		YP_009518778.1	342	b1368
NC_000913.3	1427389	1428984		plus	uncharacterized gene	lomR	4056036	pseudogene				b4570
NC_000913.3	1427746	1428726		minus	IS5 family transposase and trans-activator	insH5	945944	protein-coding		NP_415888.1	326	b1370
NC_000913.3	1429049	1432411		plus	putative prophage side tail fiber protein StfR	stfR	945207	protein-coding		NP_415890.2	1120	b1372
NC_000913.3	1432411	1432986		plus	putative tail fiber assembly protein TfaR	tfaR	946062	protein-coding		NP_415891.1	191	b1373
NC_000913.3	1433084	1433674		minus	putative site-specific recombinase	pinR	948973	protein-coding		NP_415892.1	196	b1374
NC_000913.3	1433991	1434224		minus	uncharacterized protein YnaE	ynaE	946078	protein-coding		NP_415893.2	77	b1375
NC_000913.3	1434293	1434406		minus	protein YnaM	ynaM	38094956	protein-coding		YP_009518779.1	37	b4744
NC_000913.3	1434958	1435008		minus	uncharacterized gene	ttcC	5625564	pseudogene				b4638
NC_000913.3	1435185	1435619		minus	universal stress protein F	uspF	945948	protein-coding		NP_415894.4	144	b1376
NC_000913.3	1435760	1436893		minus	outer membrane porin N	ompN	946313	protein-coding		NP_415895.1	377	b1377
NC_000913.3	1437121	1437231		plus	small regulatory RNA MicC	micC	2847713	ncRNA				b4427
NC_000913.3	1437260	1440784		minus	putative pyruvate-flavodoxin oxidoreductase	ydbK	946587	protein-coding		NP_415896.1	1174	b1378
NC_000913.3	1441058	1441324		plus	DUF333 domain-containing protein YdbJ	ydbJ	4056027	protein-coding		YP_588453.1	88	b4529
NC_000913.3	1441321	1441743		minus	lipoprotein implicated in Novobiocin resistance	hslJ	946525	protein-coding		NP_415897.1	140	b1379
NC_000913.3	1441854	1442843		minus	D-lactate dehydrogenase	ldhA	946315	protein-coding		NP_415898.1	329	b1380
NC_000913.3	1443051	1445690		plus	putative phospholipid transport factor YdbH	ydbH	945949	protein-coding		NP_415899.1	879	b1381
NC_000913.3	1445687	1445872		plus	lipoprotein YnbE	ynbE	945946	protein-coding		NP_415900.1	61	b1382
NC_000913.3	1445880	1446206		plus	DUF1318 domain-containing protein YdbL	ydbL	945943	protein-coding		NP_415901.2	108	b1383
NC_000913.3	1446378	1447283		minus	DNA-binding transcriptional activator FeaR	feaR	945941	protein-coding		NP_415902.1	301	b1384
NC_000913.3	1447519	1449018		plus	phenylacetaldehyde dehydrogenase	feaB	945933	protein-coding		NP_415903.4	499	b1385
NC_000913.3	1449076	1451349		minus	copper-containing amine oxidase	tynA	945939	protein-coding		NP_415904.3	757	b1386
NC_000913.3	1451597	1453642		minus	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase	paaZ	945954	protein-coding		NP_415905.1	681	b1387
NC_000913.3	1453927	1454856		plus	phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit	paaA	945833	protein-coding		NP_415906.1	309	b1388
NC_000913.3	1454868	1455155		plus	phenylacetyl-CoA 1,2-epoxidase subunit B	paaB	947595	protein-coding		NP_415907.1	95	b1389
NC_000913.3	1455164	1455910		plus	phenylacetyl-CoA 1,2-epoxidase, structural subunit	paaC	945956	protein-coding		NP_415908.1	248	b1390
NC_000913.3	1455925	1456422		plus	phenylacetate degradation protein	paaD	945959	protein-coding		NP_415909.4	165	b1391
NC_000913.3	1456430	1457500		plus	phenylacetyl-CoA 1,2-epoxidase, reductase subunit	paaE	945962	protein-coding		NP_415910.1	356	b1392
NC_000913.3	1457497	1458264		plus	putative 2,3-dehydroadipyl-CoA hydratase	paaF	946011	protein-coding		NP_415911.1	255	b1393
NC_000913.3	1458264	1459052		plus	putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	paaG	946263	protein-coding		NP_415912.1	262	b1394
NC_000913.3	1459054	1460481		plus	3-hydroxyadipyl-CoA dehydrogenase	paaH	945940	protein-coding		NP_415913.1	475	b1395
NC_000913.3	1460471	1460893		plus	phenylacetyl-CoA thioesterase	paaI	945265	protein-coding		NP_415914.1	140	b1396
NC_000913.3	1460893	1462098		plus	beta-ketoadipyl-CoA thiolase	paaJ	946121	protein-coding		NP_415915.1	401	b1397
NC_000913.3	1462125	1463438		plus	phenylacetate-CoA ligase	paaK	945963	protein-coding		NP_415916.1	437	b1398
NC_000913.3	1463539	1464489		plus	DNA-binding transcriptional repressor PaaX	paaX	945966	protein-coding		NP_415917.1	316	b1399
NC_000913.3	1464471	1465061		plus	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase	paaY	945965	protein-coding		NP_415918.1	196	b1400
NC_000913.3	1465165	1465230		minus	uncharacterized protein YnbG	ynbG	7751614	protein-coding		YP_002791240.1	21	b4674
NC_000913.3	1465392	1474013		plus	uncharacterized gene	ydbA	2847750	pseudogene				b4492
NC_000913.3	1467921	1468826		minus	IS2 insertion element protein InsB	insD2	945952	protein-coding		NP_415920.1	301	b1402
NC_000913.3	1468784	1469149		minus	IS2 insertion element repressor InsA	insC2	945967	protein-coding		NP_415921.2	121	b1403
NC_000913.3	1469358	1470509		plus	IS30 family transposase	insI2	945968	protein-coding		NP_415922.1	383	b1404
NC_000913.3	1474221	1475081		plus	pyridoxal reductase	pdxI	945980	protein-coding		NP_415924.1	286	b1406
NC_000913.3	1475144	1477450		plus	DUF2773 domain-containing protein YdbD	ydbD	945983	protein-coding		NP_415925.2	768	b1407
NC_000913.3	1477621	1478226		plus	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA	ynbA	945973	protein-coding		NP_415926.4	201	b1408
NC_000913.3	1478226	1479122		plus	putative CDP-diglyceride synthase	ynbB	945972	protein-coding		NP_415927.1	298	b1409
NC_000913.3	1479138	1480895		plus	hydrolase/methyltransferase domain-containing protein YnbC	ynbC	945970	protein-coding		NP_415928.1	585	b1410
NC_000913.3	1480909	1482201		plus	phosphatase domain-containing protein YnbD	ynbD	945985	protein-coding		NP_415929.1	430	b1411
NC_000913.3	1482255	1482860		minus	FMN dependent NADH:quinone oxidoreductase	azoR	947569	protein-coding		NP_415930.1	201	b1412
NC_000913.3	1483061	1486963		plus	ATP-dependent 3'->5' RNA helicase HrpA	hrpA	948444	protein-coding		NP_415931.4	1300	b1413
NC_000913.3	1487235	1488035		plus	DUF218 domain-containing protein YdcF	ydcF	946215	protein-coding		NP_415932.1	266	b1414
NC_000913.3	1488232	1489671		plus	aldehyde dehydrogenase A	aldA	945672	protein-coding		NP_415933.1	479	b1415
NC_000913.3	1489713	1490713		minus	uncharacterized gene	gapC	2847738	pseudogene				b4493
NC_000913.3	1490902	1491432		plus	superoxide oxidase	cybB	947241	protein-coding		NP_415935.2	176	b1418
NC_000913.3	1491442	1491506		minus	small regulatory RNA RydC	rydC	5061508	ncRNA				b4597
NC_000913.3	1491677	1491850		plus	protein YdcA	ydcA	945986	protein-coding		NP_415936.1	57	b1419
NC_000913.3	1491876	1491944		plus	protein YncP	yncP	63925635	protein-coding		YP_010051184.1	22	b4774
NC_000913.3	1491922	1492071		minus	toxin HokB	hokB	2847727	protein-coding		YP_025301.1	49	b4428
NC_000913.3	1491962	1492129		minus	putative regulatory protein MokB	mokB	948820	protein-coding		NP_415937.1	55	b1420
NC_000913.3	1492119	1492175		plus	putative small regulatory RNA antitoxin SokB	sokB	2847728	ncRNA				b4429
NC_000913.3	1492470	1494110		plus	methyl-accepting chemotaxis protein Trg	trg	945995	protein-coding		NP_415938.1	546	b1421
NC_000913.3	1494148	1495071		minus	DNA-binding transcriptional dual regulator YdcI	ydcI	948865	protein-coding		NP_415939.2	307	b1422
NC_000913.3	1495288	1496631		plus	DUF1338 domain-containing protein YdcJ	ydcJ	945991	protein-coding		NP_415940.1	447	b1423
NC_000913.3	1496856	1498511		plus	glucans biosynthesis protein D	opgD	945994	protein-coding		NP_415941.5	551	b1424
NC_000913.3	1498651	1498875		plus	DUF465 domain-containing protein YdcH	ydcH	945997	protein-coding		NP_415943.4	74	b1426
NC_000913.3	1498938	1499477		plus	ribosomal-protein-L12-serine N-acetyltransferase	rimL	945998	protein-coding		NP_415944.1	179	b1427
NC_000913.3	1499469	1500449		minus	putative acyltransferase YdcK	ydcK	944932	protein-coding		NP_415945.1	326	b1428
NC_000913.3	1500573	1501565		plus	tellurite resistance protein	tehA	945852	protein-coding		NP_415946.1	330	b1429
NC_000913.3	1501562	1502155		plus	tellurite methyltransferase	tehB	945979	protein-coding		NP_415947.1	197	b1430
NC_000913.3	1502457	1503125		plus	DUF3313 domain-containing lipoprotein YdcL	ydcL	948203	protein-coding		NP_415948.1	222	b1431
NC_000913.3	1503218	1503649		minus	uncharacterized gene	yncK	4056028	pseudogene				b4578
NC_000913.3	1503657	1504865		plus	putative RNA-guided DNA endonuclease InsQ	insQ	944942	protein-coding		NP_415949.3	402	b1432
NC_000913.3	1504905	1506080		minus	putative transport protein YdcO	ydcO	947247	protein-coding		NP_415950.4	391	b1433
NC_000913.3	1506172	1506708		plus	DNA-binding transcriptional dual regulator SutR	sutR	946000	protein-coding		NP_415951.1	178	b1434
NC_000913.3	1506781	1508742		plus	23S rRNA 5-hydroxycytidine C2501 synthase	rlhA	945993	protein-coding		NP_415952.2	653	b1435
NC_000913.3	1508834	1509064		minus	DUF2554 domain-containing protein YncJ	yncJ	945990	protein-coding		NP_415953.1	76	b1436
NC_000913.3	1509286	1509462		plus	mRNA interferase toxin HicA	hicA	945989	protein-coding		NP_415954.2	58	b4532
NC_000913.3	1509508	1509924		plus	antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB	hicB	946001	protein-coding		NP_415955.2	138	b1438
NC_000913.3	1510003	1511409		plus	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	ydcR	946004	protein-coding		NP_415956.1	468	b1439
NC_000913.3	1511654	1512799		plus	putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase	ydcS	946005	protein-coding		NP_415957.1	381	b1440
