,locus,symbol,precise1k_idx,matrix_idx
911,b2615,nadK,2621,2770
912,b2660,lhgD,2658,2810
913,b2661,gabD,2659,2811
914,b2662,gabT,2660,2812
915,b2663,gabP,2661,2813
916,b2668,ygaP,2666,2818
917,b2670,alaE,2668,2820
918,b2675,nrdE,2673,2825
919,b2676,nrdF,2674,2826
920,b2677,proV,2675,2827
921,b2678,proW,2676,2828
922,b2679,proX,2677,2829
923,b2682,ygaZ,2679,2831
924,b2683,ygaH,2680,2832
925,b2687,luxS,2684,2836
926,b2688,gshA,2685,2838
927,b2690,yqaB,2687,2840
928,b2700,pncC,2692,2850
929,b2701,mltB,2693,2851
930,b2702,srlA,2694,2852
931,b2703,srlE,2695,2853
932,b2704,srlB,2696,2854
933,b2705,srlD,2697,2855
934,b2708,gutQ,2700,2858
935,b2710,norV,2702,2860
936,b2711,norW,2703,2861
937,b2715,ascF,2707,2865
938,b2716,ascB,2708,2866
939,b2719,hycG,2711,2869
940,b2720,hycF,2712,2870
941,b2721,hycE,2713,2871
942,b2722,hycD,2714,2872
943,b2723,hycC,2715,2873
944,b2724,hycB,2716,2874
945,b2727,hypB,2719,2877
946,b2738,ygbL,2730,2888
947,b2744,umpG,2736,2894
948,b2746,ispF,2738,2896
949,b2747,ispD,2739,2897
950,b2750,cysC,2742,2900
951,b2751,cysN,2743,2901
952,b2752,cysD,2744,2902
953,b2762,cysH,2754,2913
954,b2763,cysI,2755,2914
955,b2764,cysJ,2756,2915
956,b2765,queD,2757,2916
957,b2779,eno,2771,2930
958,b2780,pyrG,2772,2931
959,b2781,mazG,2773,2932
960,b2784,relA,2776,2935
961,b2787,gudD,2779,2938
962,b2788,gudX,2780,2939
963,b2789,gudP,2781,2940
964,b2794,queF,2786,2946
965,b2796,sdaC,2788,2948
966,b2797,sdaB,2789,2949
967,b2799,fucO,2791,2951
968,b2800,fucA,2792,2952
969,b2801,fucP,2793,2953
970,b2802,fucI,2794,2954
971,b2803,fucK,2795,2955
972,b2810,csdA,2802,2963
973,b2813,mltA,2805,2966
974,b2817,amiC,2806,2970
975,b2818,argA,2807,2971
976,b2827,thyA,2816,2980
977,b2835,lplT,2825,2989
978,b2836,aas,2826,2990
979,b2838,lysA,2828,2994
980,b2841,araE,2831,2997
981,b2842,kduD,2832,2998
982,b2843,kduI,2833,2999
983,b2866,xdhA,2855,3022
984,b2867,xdhB,2856,3023
985,b2868,xdhC,2857,3024
986,b2871,ygeX,2860,3027
987,b2873,hyuA,2862,3029
988,b2877,mocA,2866,3033
989,b2882,xanQ,2871,3038
990,b2883,guaD,2872,3039
991,b4464,ghxQ,2873,3040
992,b2888,uacT,2876,3043
993,b2889,idi,2879,3046
994,b2893,dsbC,2883,3050
995,b2895,fldB,2885,3052
996,b2901,bglA,2891,3058
997,b2903,gcvP,2893,3060
998,b2904,gcvH,2894,3061
999,b2905,gcvT,2895,3062
1000,b2906,ubiI,2897,3064
1001,b2907,ubiH,2898,3065
1002,b2912,fau,2902,3070
1003,b2913,serA,2904,3073
1004,b2914,rpiA,2905,3074
1005,b2917,scpA,2908,3077
1006,b2918,argK,2909,3078
1007,b2919,scpB,2910,3079
1008,b2920,scpC,2911,3080
1009,b2923,argO,2914,3083
1010,b2924,mscS,2915,3084
1011,b2925,fbaA,2916,3085
1012,b2926,pgk,2917,3086
1013,b2927,epd,2918,3087
1014,b2930,yggF,2921,3090
1015,b2933,cmtA,2923,3092
1016,b2934,cmtB,2924,3093
1017,b2935,tktA,2925,3094
1018,b2937,speB,2927,3096
1019,b2938,speA,2928,3097
1020,b2942,metK,2932,3102
1021,b2943,galP,2933,3103
1022,b2947,gshB,2937,3107
1023,b2954,rdgB,2944,3114
1024,b2957,ansB,2947,3117
1025,b2963,mltC,2953,3123
1026,b2964,nupG,2954,3124
1027,b2965,speC,2955,3125
1028,b2975,glcA,2963,3136
1029,b2976,glcB,2964,3137
1030,b4467,glcF,2966,3139
1031,b4468,glcE,2967,3140
1032,b2979,glcD,2968,3141
1033,b2987,pitB,2976,3149
1034,b2988,gss,2977,3150
1035,b2989,yghU,2978,3151
1036,b2994,hybC,2983,3156
1037,b2995,hybB,2984,3157
1038,b2996,hybA,2985,3158
1039,b2997,hybO,2986,3159
1040,b3001,gpr,2990,3163
1041,b3003,yghA,2992,3165
1042,b3005,exbD,2993,3166
1043,b3006,exbB,2994,3167
1044,b3008,metC,2995,3168
1045,b3011,yqhD,2998,3171
1046,b3012,dkgA,2999,3172
1047,b3018,plsC,3004,3177
1048,b3028,mdaB,3014,3187
1049,b3029,ygiN,3015,3188
1050,b3032,cpdA,3018,3191
1051,b3034,nudF,3020,3193
1052,b3035,tolC,3021,3194
1053,b3040,zupT,3025,3198
1054,b3041,ribB,3027,3200
1055,b3052,hldE,3040,3215
1056,b3057,bacA,3045,3220
1057,b3058,folB,3046,3221
1058,b3059,plsY,3047,3222
1059,b3061,ttdA,3049,3224
1060,b3062,ttdB,3050,3225
1061,b3063,ttdT,3051,3226
1062,b3070,nfeF,3057,3233
1063,b3073,patA,3060,3236
1064,b3089,sstT,3076,3252
1065,b3091,uxaA,3078,3254
1066,b3092,uxaC,3079,3255
1067,b3093,exuT,3080,3256
1068,b4471,tdcG,3097,3274
1069,b3114,tdcE,3099,3276
1070,b3115,tdcD,3100,3277
1071,b3116,tdcC,3101,3278
1072,b3117,tdcB,3102,3279
1073,b3124,garK,3107,3285
1074,b3125,garR,3108,3286
1075,b3126,garL,3109,3287
1076,b3127,garP,3110,3288
1077,b3128,garD,3111,3289
1078,b3132,kbaZ,3115,3293
1079,b3137,kbaY,3120,3298
1080,b3161,mtr,3144,3322
1081,b3172,argG,3155,3335
1082,b3176,glmM,3158,3339
1083,b3177,folP,3159,3340
1084,b3182,dacB,3164,3345
1085,b3187,ispB,3169,3350
1086,b3189,murA,3171,3352
1087,b3196,yrbG,3178,3359
1088,b3197,kdsD,3179,3360
1089,b3198,kdsC,3180,3361
1090,b3199,lptC,3181,3362
1091,b3200,lptA,3182,3363
1092,b3201,lptB,3183,3364
1093,b3208,mtgA,3190,3371
1094,b3212,gltB,3194,3376
1095,b3213,gltD,3195,3377
1096,b3222,nanK,3204,3386
1097,b3223,nanE,3205,3387
1098,b3224,nanT,3206,3388
1099,b3225,nanA,3207,3389
1100,b3236,mdh,3218,3400
1101,b3240,aaeB,3222,3404
1102,b3241,aaeA,3223,3405
1103,b3248,yhdE,3229,3411
1104,b3253,yhdH,3234,3416
1105,b3255,accB,3235,3419
1106,b3256,accC,3236,3420
1107,b3258,panF,3238,3422
1108,b3265,acrE,3245,3429
1109,b3266,acrF,3246,3430
1110,b3281,aroE,3254,3445
1111,b3290,trkA,3262,3453
1112,b3291,mscL,3263,3454
1113,b3336,bfr,3309,3500
1114,b3350,kefB,3324,3515
1115,b3359,argD,3333,3524
1116,b3360,pabA,3334,3526
1117,b3365,nirB,3339,3531
1118,b3366,nirD,3340,3532
1119,b3367,nirC,3341,3533
1120,b3368,cysG,3342,3534
1121,b3370,frlA,3344,3536
1122,b3371,frlB,3345,3537
1123,b4474,frlC,3346,3538
1124,b3374,frlD,3347,3539
1125,b3385,gph,3358,3550
1126,b3386,rpe,3359,3551
1127,b3389,aroB,3362,3554
1128,b3390,aroK,3363,3555
1129,b3396,mrcA,3369,3561
1130,b3397,nudE,3370,3562
1131,b3399,yrfG,3372,3564
1132,b3403,pck,3376,3568
1133,b3409,feoB,3382,3574
1134,b3412,bioH,3385,3577
1135,b3415,gntT,3388,3580
1136,b3416,malQ,3389,3581
1137,b3417,malP,3390,3582
1138,b3425,glpE,3397,3589
1139,b3426,glpD,3398,3590
1140,b3428,glgP,3400,3592
1141,b3429,glgA,3401,3593
1142,b3430,glgC,3402,3594
1143,b3431,glgX,3403,3595
1144,b3432,glgB,3404,3596
1145,b3433,asd,3405,3599
1146,b4476,gntU,3407,3601
1147,b3437,gntK,3408,3602
1148,b3447,ggt,3419,3614
1149,b3449,ugpQ,3421,3616
1150,b3450,ugpC,3422,3617
1151,b3451,ugpE,3423,3618
1152,b3452,ugpA,3424,3619
1153,b3453,ugpB,3425,3620
1154,b3454,livF,3426,3621
1155,b3455,livG,3427,3622
1156,b3456,livM,3428,3623
1157,b3457,livH,3429,3624
1158,b3458,livK,3430,3625
1159,b3460,livJ,3432,3627
1160,b3469,zntA,3441,3636
1161,b3475,acpT,3447,3642
1162,b3476,nikA,3448,3643
1163,b3477,nikB,3449,3644
1164,b3478,nikC,3450,3645
1165,b3479,nikD,3451,3646
1166,b3480,nikE,3452,3647
1167,b3488,yhiJ,3460,3657
1168,b3493,pitA,3464,3661
1169,b3496,dtpB,3467,3666
1170,b3500,gor,3471,3670
1171,b3502,arsB,3474,3675
1172,b3503,arsC,3475,3676
1173,b3517,gadA,3489,3693
1174,b3519,treF,3491,3695
1175,b3525,pdeH,3497,3701
1176,b3526,kdgK,3498,3702
1177,b3528,dctA,3500,3704
1178,b3540,dppF,3513,3718
1179,b3541,dppD,3514,3719
1180,b3542,dppC,3515,3720
1181,b3543,dppB,3516,3721
1182,b3544,dppA,3517,3722
1183,b3546,eptB,3518,3724
1184,b3551,bisC,3523,3729
1185,b3553,ghrB,3525,3731
1186,b3564,xylB,3538,3747
1187,b3565,xylA,3539,3749
1188,b3566,xylF,3540,3750
1189,b3567,xylG,3541,3751
1190,b3568,xylH,3542,3752
1191,b3571,malS,3545,3756
1192,b3572,avtA,3546,3757
1193,b3575,yiaK,3549,3760
1194,b3577,yiaM,3551,3762
1195,b3578,yiaN,3552,3763
1196,b3579,yiaO,3553,3764
1197,b3580,lyxK,3554,3765
1198,b3581,sgbH,3555,3766
1199,b3582,sgbU,3556,3767
1200,b3583,sgbE,3557,3768
1201,b3588,aldB,3562,3775
1202,b3589,yiaY,3563,3776
1203,b3590,selB,3564,3777
1204,b3599,mtlA,3575,3790
1205,b3600,mtlD,3576,3791
1206,b3603,lldP,3580,3795
1207,b3605,lldD,3582,3797
1208,b3607,cysE,3584,3799
1209,b3608,gpsA,3585,3800
1210,b3610,grxC,3587,3802
1211,b3612,gpmM,3589,3804
1212,b3614,yibQ,3591,3806
1213,b3616,tdh,3593,3808
1214,b3617,kbl,3594,3809
1215,b3619,rfaD,3596,3811
1216,b3620,waaF,3597,3812
1217,b3621,waaC,3598,3813
1218,b3622,waaL,3599,3814
1219,b3623,waaU,3600,3817
1220,b3624,waaZ,3601,3818
1221,b3625,waaY,3602,3819
1222,b3626,waaJ,3603,3820
1223,b3627,waaO,3604,3821
1224,b3628,waaB,3605,3822
1225,b3629,waaS,3606,3823
1226,b3630,waaP,3607,3824
1227,b3631,waaG,3608,3825
1228,b3632,waaQ,3609,3826
1229,b3633,waaA,3610,3828
1230,b3634,coaD,3611,3829
1231,b3639,dfp,3616,3834
1232,b3640,dut,3617,3835
1233,b3642,pyrE,3619,3837
1234,b3648,gmk,3625,3843
1235,b3650,spoT,3627,3845
1236,b3653,gltS,3630,3848
1237,b3654,xanP,3631,3849
1238,b3656,yicI,3633,3851
1239,b3662,nepI,3639,3860
1240,b3664,adeQ,3641,3862
1241,b3665,adeD,3642,3863
1242,b3666,uhpT,3643,3865
1243,b3670,ilvN,3647,3869
1244,b3671,ilvB,3648,3870
1245,b3679,yidK,3657,3881
1246,b3691,dgoT,3668,3893
1247,b4478,dgoD,3669,3894
1248,b4477,dgoA,3670,3895
1249,b3693,dgoK,3671,3896
1250,b3697,yidA,3674,3899
1251,b3708,tnaA,3687,3912
1252,b3709,tnaB,3688,3913
1253,b3713,yieF,3692,3917
1254,b3714,adeP,3693,3918
1255,b3715,yieH,3694,3919
1256,b3721,bglB,3700,3925
1257,b3722,bglF,3701,3926
1258,b3725,pstB,3704,3929
1259,b3726,pstA,3705,3930
1260,b3727,pstC,3706,3931
1261,b3728,pstS,3707,3932
1262,b3729,glmS,3708,3933
1263,b3730,glmU,3709,3934
1264,b3731,atpC,3710,3935
1265,b3732,atpD,3711,3936
1266,b3733,atpG,3712,3937
1267,b3734,atpA,3713,3938
1268,b3735,atpH,3714,3939
1269,b3736,atpF,3715,3940
1270,b3737,atpE,3716,3941
1271,b3738,atpB,3717,3942
1272,b3739,atpI,3718,3943
1273,b3744,asnA,3723,3948
1274,b3747,kup,3726,3951
1275,b3748,rbsD,3727,3952
1276,b3749,rbsA,3728,3953
1277,b3750,rbsC,3729,3954
1278,b3751,rbsB,3730,3955
1279,b3752,rbsK,3731,3957
1280,b3770,ilvE,3742,3974
1281,b3771,ilvD,3743,3975
1282,b3772,ilvA,3744,3976
1283,b3774,ilvC,3746,3978
1284,b3779,gpp,3750,3982
1285,b3781,trxA,3752,3984
1286,b3784,rfe,3755,3987
1287,b3785,wzzE,3756,3988
1288,b3786,wecB,3757,3989
1289,b3787,wecC,3758,3990
1290,b3788,rffG,3759,3991
1291,b3789,rffH,3760,3992
1292,b3790,rffC,3761,3993
1293,b3791,wecE,3762,3994
1294,b3792,wzxE,3763,3995
1295,b4481,wecF,3764,3996
1296,b3793,wzyE,3765,3997
1297,b3794,rffM,3766,3998
1298,b3804,hemD,3772,4009
1299,b3805,hemC,3773,4010
1300,b3806,cyaA,3774,4011
1301,b3809,dapF,3778,4015
1302,b3812,yigB,3781,4018
1303,b3816,corA,3784,4022
1304,b3821,pldA,3789,4027
1305,b3823,rhtC,3791,4029
1306,b3824,rhtB,3792,4030
1307,b3825,pldB,3793,4031
1308,b3826,yigL,3794,4032
1309,b3829,metE,3797,4035
1310,b3831,udp,3799,4037
1311,b3833,ubiE,3801,4039
1312,b3843,ubiD,3809,4048
1313,b3844,fre,3810,4049
1314,b3845,fadA,3811,4050
1315,b3846,fadB,3812,4051
1316,b3849,trkH,3815,4054
1317,b3850,hemG,3816,4055
1318,b3856,mobB,3817,4061
1319,b3857,mobA,3818,4062
1320,b3860,dsbA,3821,4065
1321,b3867,hemN,3827,4073
1322,b3870,glnA,3831,4077
1323,b3875,ompL,3836,4082
1324,b3876,yihO,3837,4083
1325,b3877,yihP,3838,4084
1326,b3878,yihQ,3839,4085
1327,b3880,yihS,3841,4087
1328,b3881,yihT,3842,4088
1329,b3882,yihU,3843,4089
1330,b3883,yihV,3844,4090
1331,b3885,yihX,3846,4092
1332,b3892,fdoI,3853,4099
1333,b3893,fdoH,3854,4100
1334,b3894,fdoG,3855,4101
1335,b3902,rhaD,3863,4109
1336,b3903,rhaA,3864,4110
1337,b3904,rhaB,3865,4111
1338,b3907,rhaT,3868,4114
1339,b3908,sodA,3869,4115
1340,b3909,kdgT,3870,4116
1341,b3915,fieF,3875,4122
1342,b3916,pfkA,3876,4123
1343,b3917,sbp,3877,4124
1344,b3918,cdh,3878,4125
1345,b3919,tpiA,3879,4126
1346,b3924,fpr,3884,4131
1347,b3925,glpX,3885,4132
1348,b3926,glpK,3886,4133
1349,b3927,glpF,3887,4134
1350,b3930,menA,3890,4137
1351,b3939,metB,3899,4146
1352,b3940,metL,3900,4147
1353,b3941,metF,3901,4148
1354,b3942,katG,3902,4149
1355,b3943,yijE,3903,4150
1356,b3945,gldA,3905,4152
1357,b3946,fsaB,3906,4153
1358,b3951,pflD,3910,4157
1359,b3952,pflC,3911,4158
1360,b3956,ppc,3915,4162
1361,b3957,argE,3916,4163
1362,b3958,argC,3917,4164
1363,b3959,argB,3918,4165
1364,b3960,argH,3919,4166
1365,b3962,sthA,3921,4169
1366,b3966,btuB,3925,4173
1367,b3967,murI,3926,4174
1368,b3972,murB,3927,4179
1369,b3974,coaA,3929,4181
1370,b3990,thiH,3940,4197
1371,b3991,thiG,3941,4198
1372,b4407,thiS,3942,4199
1373,b3992,thiF,3943,4200
1374,b3993,thiE,3944,4201
1375,b3994,thiC,3945,4202
1376,b3996,nudC,3947,4204
1377,b3997,hemE,3948,4205
1378,b4005,purD,3956,4213
1379,b4006,purH,3957,4214
1380,b4013,metA,3960,4221
1381,b4014,aceB,3961,4222
1382,b4015,aceA,3962,4223
1383,b4019,metH,3966,4228
1384,b4020,yjbB,3967,4229
1385,b4024,lysC,3971,4233
1386,b4025,pgi,3972,4234
1387,b4031,xylE,3979,4241
1388,b4032,malG,3980,4243
1389,b4033,malF,3981,4244
1390,b4034,malE,3982,4245
1391,b4035,malK,3983,4246
1392,b4036,lamB,3984,4247
1393,b4039,ubiC,3987,4250
1394,b4040,ubiA,3988,4251
1395,b4041,plsB,3989,4252
1396,b4042,dgkA,3990,4253
1397,b4053,alr,4001,4265
1398,b4054,tyrB,4002,4266
1399,b4055,aphA,4004,4268
1400,b4064,ghxP,4013,4278
1401,b4067,actP,4016,4281
1402,b4069,acs,4018,4283
1403,b4070,nrfA,4019,4285
1404,b4071,nrfB,4020,4286
1405,b4072,nrfC,4021,4287
1406,b4073,nrfD,4022,4288
1407,b4077,gltP,4026,4292
1408,b4079,fdhF,4028,4294
1409,b4084,alsK,4034,4300
1410,b4085,alsE,4035,4301
1411,b4086,alsC,4036,4302
1412,b4087,alsA,4037,4303
1413,b4088,alsB,4038,4304
1414,b4090,rpiB,4040,4306
1415,b4092,phnP,4042,4308
1416,b4093,phnO,4043,4309
1417,b4094,phnN,4044,4310
1418,b4095,phnM,4045,4311
1419,b4096,phnL,4046,4312
1420,b4098,phnJ,4048,4314
1421,b4099,phnI,4049,4315
1422,b4100,phnH,4050,4316
1423,b4101,phnG,4051,4317
1424,b4105,phnD,4054,4320
1425,b4106,phnC,4055,4321
1426,b4111,proP,4060,4326
1427,b4115,adiC,4065,4331
1428,b4117,adiA,4067,4333
1429,b4119,melA,4069,4335
1430,b4120,melB,4070,4336
1431,b4122,fumB,4072,4338
1432,b4123,dcuB,4073,4339
1433,b4129,lysU,4080,4346
1434,b4130,dtpC,4081,4347
1435,b4131,cadA,4082,4348
1436,b4132,cadB,4083,4349
1437,b4136,dsbD,4086,4354
1438,b4138,dcuA,4088,4356
1439,b4139,aspA,4089,4358
1440,b4141,yjeH,4091,4360
1441,b4146,epmB,4096,4365
1442,b4151,frdD,4103,4372
1443,b4152,frdC,4104,4373
1444,b4153,frdB,4105,4374
1445,b4154,frdA,4106,4375
1446,b4159,mscM,4111,4380
1447,b4160,psd,4112,4381
1448,b4161,rsgA,4113,4382
1449,b4167,nnr,4117,4389
1450,b4169,amiB,4119,4391
1451,b4173,hflX,4123,4395
1452,b4177,purA,4127,4399
1453,b4192,ulaG,4142,4414
1454,b4193,ulaA,4143,4415
1455,b4194,ulaB,4144,4416
1456,b4195,ulaC,4145,4417
1457,b4196,ulaD,4146,4418
1458,b4197,ulaE,4147,4419
1459,b4198,ulaF,4148,4420
1460,b4208,cycA,4158,4430
1461,b4209,ytfE,4159,4431
1462,b4213,cpdB,4163,4435
1463,b4214,cysQ,4164,4436
1464,b4219,msrA,4169,4441
1465,b4226,ppa,4175,4447
1466,b4227,ytfQ,4176,4448
1467,b4485,ytfR,4177,4449
1468,b4230,ytfT,4178,4450
1469,b4231,yjfF,4179,4451
1470,b4232,fbp,4180,4452
1471,b4233,mpl,4181,4453
1472,b4237,nrdG,4184,4457
1473,b4238,nrdD,4185,4458
1474,b4239,treC,4186,4459
1475,b4240,treB,4187,4460
1476,b4242,mgtA,4190,4463
1477,b4244,pyrI,4192,4465
1478,b4245,pyrB,4193,4466
1479,b4254,argI,4200,4473
1480,b4260,pepA,4206,4479
1481,b4261,lptF,4207,4482
1482,b4262,lptG,4208,4483
1483,b4265,idnT,4211,4486
1484,b4266,idnO,4212,4487
1485,b4267,idnD,4213,4488
1486,b4268,idnK,4214,4489
1487,b4269,ahr,4215,4490
1488,b4287,fecE,4230,4507
1489,b4288,fecD,4231,4508
1490,b4289,fecC,4232,4509
1491,b4290,fecB,4233,4510
1492,b4291,fecA,4234,4511
1493,b4297,yjhG,4240,4519
1494,b4298,yjhH,4241,4520
1495,b4311,nanC,4257,4539
1496,b4321,gntP,4267,4549
1497,b4322,uxuA,4268,4550
1498,b4323,uxuB,4269,4551
1499,b4337,mdtM,4287,4569
1500,b4352,yjiA,4300,4584
1501,b4356,lgoT,4304,4588
1502,b4358,lgoD,4306,4590
1503,b4367,fhuF,4315,4599
1504,b4374,yjjG,4320,4607
1505,b4381,deoC,4328,4615
1506,b4382,deoA,4329,4616
1507,b4383,deoB,4330,4617
1508,b4384,deoD,4331,4618
1509,b4386,lplA,4333,4620
1510,b4388,serB,4335,4622
1511,b4390,nadR,4337,4624
1512,b4392,slt,4339,4626
1513,b4394,yjjX,4341,4628
